,Subject,Start Date,Start Time,End Date,End Time,Description
0,[循证医学] 循证医学总论,2019-02-28,10:05,2019-02-28,12:20,理论
1,[循证医学] 提出问题、证据分类、分级与检索,2019-03-07,10:05,2019-03-07,12:20,理论
2,[循证医学] 系统评价,2019-03-14,10:05,2019-03-14,12:20,理论
3,[循证医学] Meta分析,2019-03-21,10:05,2019-03-21,12:20,理论
4,[循证医学] 提出问题与证据检索及Meta分析实践,2019-03-28,10:05,2019-03-28,12:20,理论
5,[循证医学] 诊断性问题的评价与应用,2019-04-04,10:05,2019-04-04,12:20,理论
6,[循证医学] 诊断性问题的循证实践应用讨论,2019-04-11,10:05,2019-04-11,12:20,理论
7,[循证医学] 治疗性问题的评价与应用,2019-04-18,10:05,2019-04-18,12:20,理论
8,[循证医学] 治疗性问题的循证实践应用讨论,2019-04-25,10:05,2019-04-25,12:20,理论
9,[循证医学] 预后研究问题的评价与应用,2019-05-02,10:05,2019-05-02,12:20,理论
10,[循证医学] 预后研究问题的循证实践应用讨论,2019-05-09,10:05,2019-05-09,11:35,理论
