,Subject,Start Date,Start Time,End Date,End Time,Description
0,[现场调查与信息处理实验] 统计描述,2019-03-20,10:05,2019-03-20,12:20,实验
1,[现场调查与信息处理实验] 定量资料的统计推断,2019-04-03,10:05,2019-04-03,12:20,实验
2,[现场调查与信息处理实验] 方差分析,2019-04-17,10:05,2019-04-17,12:20,实验
3,[现场调查与信息处理实验] 疾病频率指标的测量,2019-04-22,19:00,2019-04-22,21:10,实验
4,[现场调查与信息处理实验] 现况调查,2019-04-29,19:00,2019-04-29,21:10,实验
5,[现场调查与信息处理实验] 病例对照研究,2019-05-06,19:00,2019-05-06,21:10,实验
6,[现场调查与信息处理实验] 定性资料的统计推断,2019-05-08,10:05,2019-05-08,12:20,实验
7,[现场调查与信息处理实验] 临床试验,2019-05-13,19:00,2019-05-13,21:10,实验
8,[现场调查与信息处理实验] 诊断试验/案例分析,2019-05-20,18:20,2019-05-20,21:10,实验
9,[现场调查与信息处理实验] 直线相关与回归,2019-05-22,9:15,2019-05-22,12:20,实验
