,Subject,Start Date,Start Time,End Date,End Time,Description
0,[血液及免疫系统疾病] 血液的组成、理化特征与功能,2019-02-26,9:15,2019-02-26,9:55,理论
1,[血液及免疫系统疾病] 血液的组成、理化特征与功能,2019-02-26,8:30,2019-02-26,9:10,理论
2,[血液及免疫系统疾病] 生理性止凝血与纤维蛋白溶解,2019-02-26,10:05,2019-02-26,12:20,理论
3,[血液及免疫系统疾病] 血液的组成、理化特征与功能，生理性止凝血与纤维蛋白溶解（缙云校区）,2019-02-28,14:00,2019-02-28,17:40,实验
4,[血液及免疫系统疾病] 血型与临床输血,2019-03-05,10:55,2019-03-05,12:20,理论
5,[血液及免疫系统疾病] 骨髓细胞学基础,2019-03-05,9:15,2019-03-05,10:45,理论
6,[血液及免疫系统疾病] 血液常规检验,2019-03-05,8:30,2019-03-05,9:10,理论
7,[血液及免疫系统疾病] 血液及免疫系统药物药理,2019-03-12,8:30,2019-03-12,11:35,理论
8,[血液及免疫系统疾病] 贫血,2019-03-19,8:30,2019-03-19,9:55,理论
9,[血液及免疫系统疾病] 再生障碍性贫血,2019-03-19,10:05,2019-03-19,11:35,理论
10,[血液及免疫系统疾病] 缺铁性贫血，再生障碍性贫血PBL（江南院区内科住院部14楼教室）,2019-03-19,14:00,2019-03-19,17:00,实验
11,[血液及免疫系统疾病] 急性白血病,2019-03-26,8:30,2019-03-26,10:45,理论
12,[血液及免疫系统疾病] 淋巴组织病理学基础,2019-04-02,8:30,2019-04-02,10:45,理论
13,[血液及免疫系统疾病] 淋巴组织病理学基础（缙云校区）,2019-04-04,14:00,2019-04-04,15:25,实验
14,[血液及免疫系统疾病] 淋巴瘤总论,2019-04-09,8:30,2019-04-09,10:45,理论
15,[血液及免疫系统疾病] 出血性疾病概述,2019-04-16,8:30,2019-04-16,9:55,理论
16,[血液及免疫系统疾病] 原发性免疫性血小板减少症,2019-04-16,10:05,2019-04-16,10:45,理论
17,[血液及免疫系统疾病] 急性白血病PBL（江南院区内科住院部14楼教室）,2019-04-16,14:00,2019-04-16,16:15,实验
18,[血液及免疫系统疾病] 弥漫性血管内凝血,2019-04-23,8:30,2019-04-23,9:55,理论
19,[血液及免疫系统疾病] 系统性红斑狼疮,2019-04-30,10:05,2019-04-30,12:20,理论
20,[血液及免疫系统疾病] 风湿性疾病概述,2019-04-30,8:30,2019-04-30,9:55,理论
21,[血液及免疫系统疾病] 类风湿性关节炎,2019-05-07,10:05,2019-05-07,11:35,理论
22,[血液及免疫系统疾病] 免疫系统疾病病理,2019-05-07,8:30,2019-05-07,9:55,理论
23,[血液及免疫系统疾病] 系统性红斑狼疮PBL（渝中院区）,2019-05-07,14:00,2019-05-07,16:15,实验
24,[血液及免疫系统疾病] 幼年特发性关节炎,2019-05-14,8:30,2019-05-14,9:55,理论
25,[血液及免疫系统疾病] 过敏性紫癜,2019-05-21,9:15,2019-05-21,9:55,理论
26,[血液及免疫系统疾病] 川崎病,2019-05-21,8:30,2019-05-21,9:10,理论
27,[血液及免疫系统疾病] 原发性免疫缺陷病,2019-05-28,8:30,2019-05-28,9:55,理论
28,[血液及免疫系统疾病] 川崎病，过敏性紫癜，原发性免疫缺陷病（儿童医院）,2019-06-04,14:00,2019-06-04,16:15,实验
