,Subject,Start Date,Start Time,End Date,End Time,Description
0,[预防医学] 预防医学总论、职业卫生总论,2019-02-26,19:00,2019-02-26,21:10,理论
1,[预防医学] 铅、汞中毒,2019-03-05,19:00,2019-03-05,21:10,理论
2,[预防医学] 职业卫生评价-尿CP测定,2019-03-06,19:00,2019-03-06,21:10,实验
3,[预防医学] 苯、农药中毒,2019-03-12,19:00,2019-03-12,21:10,理论
4,[预防医学] 粉尘与尘肺,2019-03-19,19:00,2019-03-19,21:10,理论
5,[预防医学] 职业卫生评价-职业中毒讨论,2019-03-20,19:00,2019-03-20,21:10,实验
6,[预防医学] 高温、噪声,2019-03-26,19:00,2019-03-26,21:10,理论
7,[预防医学] 环境与健康,2019-04-02,19:00,2019-04-02,21:10,理论
8,[预防医学] 职业卫生评价-粉尘测定及讨论,2019-04-03,19:00,2019-04-03,21:10,实验
9,[预防医学] 大气卫生,2019-04-09,19:00,2019-04-09,21:10,理论
10,[预防医学] 水体卫生,2019-04-16,19:00,2019-04-16,21:10,理论
11,[预防医学] 环境卫生评价-二氧化硫测定,2019-04-17,19:00,2019-04-17,21:10,实验
12,[预防医学] 生物地球化学性疾病,2019-04-23,19:00,2019-04-23,21:10,理论
13,[预防医学] 营养学基础与合理营养（1）,2019-05-07,19:00,2019-05-07,21:10,理论
14,[预防医学] 环境卫生评价-环境污染案例讨论,2019-05-08,19:00,2019-05-08,21:10,实验
15,[预防医学] 营养学基础与合理营养（2）,2019-05-14,19:00,2019-05-14,21:10,理论
16,[预防医学] 特殊人群的营养,2019-05-21,19:00,2019-05-21,21:10,理论
17,[预防医学] 环境卫生评价-饮水消毒,2019-05-22,19:00,2019-05-22,21:10,实验
18,[预防医学] 营养与疾病,2019-05-28,19:00,2019-05-28,20:25,理论
19,[预防医学] 食源性疾病与食物中毒,2019-06-04,19:00,2019-06-04,20:25,理论
20,[预防医学] 营养与食品卫生评价-膳食调查与评价,2019-06-05,19:00,2019-06-05,21:10,实验
21,[预防医学] 营养与食品卫生评价-食物中毒案例讨论,2019-06-19,19:00,2019-06-19,21:10,实验
